Year,SA2_code_2016,SA2_name_2016,Population,Population density,Population growth (1 year),Population increase (1 year),Population growth (5 years),Natural increase,Net regional migration,Net overseas migration,Natural increase (ratio to population at start of year),Net regional migration (ratio to population at start of year),Net overseas migration (ratio to population at start of year)
2017,102011028,Avoca Beach - Copacabana,7590,1179,0.6,44,4.265145341,51,-55,48,0.675854757,-0.728862974,0.636098595
2017,102011029,Box Head - MacMasters Beach,10986,342.4,0.3,30,2.623743952,21,-37,46,0.191675794,-0.337714494,0.419861263
2017,102011030,Calga - Kulnura,4841,6.3,0.6,30,5.569948187,20,-16,26,0.415713989,-0.332571191,0.540428185
2017,102011031,Erina - Green Point,14237,421.3,0,-3,1.593258745,-228,139,86,-1.601123596,0.976123596,0.603932584
2017,102011032,Gosford - Springfield,19385,1146.2,0.5,101,2.984365096,71,-150,180,0.368180875,-0.77784692,0.933416304
2017,102011033,Kariong,6540,787.4,-0.3,-19,-1.09939759,47,-85,19,0.716572648,-1.295929258,0.289678305
2017,102011034,Kincumber - Picketts Valley,7428,614.5,0,-1,1.61575017,-71,42,28,-0.955714093,0.565351999,0.376901333
2017,102011035,Narara,6853,889.8,0.4,24,1.852675263,45,-51,30,0.658954459,-0.746815053,0.439302973
2017,102011036,Niagara Park - Lisarow,8173,488.5,-0.4,-29,-1.232330555,2,-59,28,0.024384297,-0.719336747,0.341380151
2017,102011037,Point Clare - Koolewong,6281,925.4,-0.8,-48,-2.189668466,-1,-82,35,-0.015800284,-1.295623321,0.553009954
2017,102011038,Saratoga - Davistown,7177,1505.1,0.5,35,4.855776199,30,-25,30,0.420050406,-0.350042005,0.420050406
2017,102011039,Terrigal - North Avoca,14048,1389.9,1,139,5.68727491,95,-96,140,0.683011,-0.69020059,1.006542526
2017,102011040,Umina - Booker Bay - Patonga,24251,961.3,0.9,214,4.481373889,-71,167,118,-0.295377959,0.694762242,0.490909847
2017,102011041,Wamberal - Forresters Beach,10308,751.2,1.6,162,6.390938377,78,41,43,0.768775872,0.404100138,0.42381234
2017,102011042,Woy Woy - Blackwall,14327,822.3,1,146,4.577874818,-54,131,69,-0.380791199,0.923771243,0.486566533
2017,102011043,Wyoming,11659,1391.1,0,2,1.727563272,-97,53,46,-0.832118041,0.454662435,0.394612679
2017,102021044,Bateau Bay - Killarney Vale,22465,2068.7,0.2,53,2.000090502,-66,61,58,-0.294485097,0.27217562,0.258789934
2017,102021045,Blue Haven - San Remo,11366,541.8,0.5,61,2.185055301,77,-41,25,0.681114551,-0.362671384,0.221141088
2017,102021046,Budgewoi - Buff Point - Halekulani,9639,1030.6,0.7,69,4.239939584,40,10,19,0.417972832,0.104493208,0.198537095
2017,102021047,Chittaway Bay - Tumbi Umbi,15697,640.7,-0.1,-17,-0.08891147,-12,-53,48,-0.076365025,-0.33727886,0.305460099
2017,102021048,Gorokan - Kanwal - Charmhaven,22567,2006.1,0.3,78,4.915073819,-105,122,61,-0.466894926,0.542487438,0.271243719
2017,102021049,Jilliby - Yarramalong,3520,10.2,1.3,46,8.30471433,13,22,11,0.374208405,0.633275763,0.316637881
2017,102021050,Lake Munmorah - Mannering Park,11093,312.5,1,109,5.123321588,-22,106,25,-0.200291333,0.965040058,0.227603787
2017,102021051,Ourimbah - Fountaindale,4996,43.8,0,2,0.884955752,30,-55,27,0.600720865,-1.101321586,0.540648779
2017,102021052,Summerland Point - Gwandalan,5904,643.2,1,60,6.413004645,37,9,14,0.633127995,0.154004107,0.239561944
2017,102021053,The Entrance,15416,1112.5,1.2,179,6.783264746,64,48,67,0.42003019,0.315022642,0.439719105
2017,102021054,Toukley - Norah Head,10092,959.2,1.3,126,7.87017395,-66,172,20,-0.662251656,1.725867951,0.20068232
2017,102021055,Tuggerah - Kangy Angy,5480,196.8,0.2,11,2.020958084,24,-53,40,0.438837082,-0.969098555,0.731395136
2017,102021056,Warnervale - Wadalba,16365,381.6,5.1,792,23.66481119,41,682,69,0.263276183,4.379374559,0.443074552
2017,102021057,Wyong,9114,606.3,1,93,7.022076092,45,0,48,0.498836049,0,0.532091786
2017,115011290,Baulkham Hills (East),24370,2933.3,3,705,9.226642825,142,214,349,0.600042256,0.904289034,1.474751743
2017,115011291,Baulkham Hills (West) - Bella Vista,21416,1953.5,2.5,528,8.715969118,107,107,314,0.512255841,0.512255841,1.503255458
2017,115011294,Glenhaven,6467,894.4,0.6,41,6.233766234,-13,34,20,-0.202303143,0.529100529,0.311235605
2017,115011296,West Pennant Hills,13244,1691.6,0.2,20,0.70116607,43,-117,94,0.325166364,-0.884754991,0.710828796
2017,115011553,Castle Hill - Central,7992,1925.2,1.1,84,4.287781139,51,-93,126,0.64491654,-1.176024279,1.593323217
2017,115011554,Castle Hill - East,5685,2743.7,-1.6,-95,-2.630674003,-172,34,43,-2.975778547,0.588235294,0.743944637
2017,115011555,Castle Hill - North,12409,1820.9,0.8,95,3.423288356,50,-109,154,0.406041904,-0.88517135,1.250609063
2017,115011556,Castle Hill - South,9970,2415.4,0.9,93,7.286324786,57,-116,152,0.577098309,-1.174445682,1.538928825
2017,115011557,Castle Hill - West,5368,3280.6,-0.1,-3,2.081380086,38,-81,40,0.707503258,-1.50809905,0.744740272
2017,115011558,Cherrybrook,19518,2365.4,0.2,44,-0.651399491,22,-201,223,0.112971141,-1.032145425,1.145116566
2017,115011559,Kellyville,25111,2359.8,5.4,1277,27.65529045,183,875,219,0.767810691,3.67122598,0.918855417
2017,115021297,Dural - Kenthurst - Wisemans Ferry,22060,58.4,1.6,355,4.055778776,46,180,129,0.211932734,0.829302004,0.594333103
2017,115021298,Galston - Laughtondale,5378,28.1,0.1,7,1.262483512,0,-21,28,0,-0.390988643,0.52131819
2017,115031299,Bilpin - Colo - St Albans,2751,1.3,0.2,6,2.600732601,16,-13,3,0.58287796,-0.473588342,0.109289617
2017,115031300,Kurrajong Heights - Ebenezer,22443,67.6,0.1,23,1.676684593,111,-141,53,0.495093666,-0.628902765,0.236396075
2017,115041301,Pitt Town - McGraths Hill,11034,135.3,2.4,255,15.4888472,110,117,28,1.02050283,1.085443919,0.259764357
2017,115041302,Rouse Hill - Beaumont Hills,24977,681.1,7.2,1675,29.82492382,228,1224,223,0.978456785,5.252768003,0.956999399
2017,116011303,Blacktown (East) - Kings Park,17868,2240.4,1.5,268,8.250744817,269,-605,604,1.528409091,-3.4375,3.431818182
2017,116011304,Blacktown (North) - Marayong,18984,2571.3,2.6,481,8.442957587,187,8,286,1.010646922,0.043236232,1.545695293
2017,116011306,Doonside - Woodcroft,24242,2446.1,3.5,816,17.00805747,262,240,314,1.118415436,1.024502689,1.340391019
2017,116011307,Lalor Park - Kings Langley,25825,2188.6,0.8,214,3.570427891,185,-181,210,0.722345867,-0.706727578,0.819960173
2017,116011308,Seven Hills - Toongabbie,25379,2265.3,2.4,591,7.184466019,265,-75,401,1.069065677,-0.302565758,1.617718251
2017,116011560,Blacktown (South),12939,3851.6,1.5,195,7.05075219,117,-118,196,0.918079096,-0.925925926,1.537978657
2017,116011561,Blacktown (West),16829,3599.6,0.7,110,6.022267206,121,-342,331,0.723727496,-2.045576889,1.97978348
2017,116021309,Glenwood,16739,3270.2,0.5,87,4.162007703,130,-325,282,0.780687005,-1.951717511,1.693490271
2017,116021310,Parklea - Kellyville Ridge,34440,3509.6,2.2,738,35.5398785,457,-118,399,1.356002611,-0.350127589,1.183906
2017,116021312,Riverstone - Marsden Park,21668,272.8,21.1,3775,80.11339948,279,3284,212,1.559268988,18.35354608,1.18482088
2017,116021562,Acacia Gardens,3905,4125.3,0,0,2.750389206,43,-96,53,1.101152369,-2.458386684,1.357234315
2017,116021563,Quakers Hill,23972,3086.2,1.6,379,4.439911462,225,-201,355,0.9536727,-0.851947612,1.504683593
2017,116031313,Bidwill - Hebersham - Emerton,18942,3107.8,-0.1,-28,-1.241328952,236,-403,139,1.244069584,-2.124406958,0.732735899
2017,116031314,Glendenning - Dean Park,8659,1683.8,0.7,57,2.943610356,74,-106,89,0.860265055,-1.232271565,1.034643106
2017,116031315,Hassall Grove - Plumpton,21429,3453.3,0.9,186,5.279381544,197,-174,163,0.927364308,-0.819093348,0.767311585
2017,116031316,Lethbridge Park - Tregear,21997,1952.3,3.2,675,28.43366452,296,206,173,1.388237501,0.966138261,0.81136854
2017,116031317,Mount Druitt - Whalan,23616,2719,1,234,4.536454437,302,-554,486,1.291591823,-2.36934394,2.07852194
2017,116031318,Prospect Reservoir,40,1.3,0,0,76,0,0,0,0,0,0
2017,116031319,Rooty Hill - Minchinbury,21912,1498.3,1.2,251,7.49356515,95,-107,263,0.438576243,-0.493975347,1.214163704
2017,117011320,Banksmeadow,21,6.2,0,0,40,0,0,0,0,0,0
2017,117011321,Botany,11679,3404.2,3.6,407,22.85474215,78,204,125,0.691980128,1.80979418,1.108942512
2017,117011322,Mascot - Eastlakes,27068,4390.6,5.2,1332,26.23549232,254,142,936,0.986944358,0.551756295,3.636928816
2017,117011323,Pagewood - Hillsdale - Daceyville,12097,3878.9,1.4,166,6.542718017,43,-109,232,0.360405666,-0.913586455,1.944514291
2017,117011324,Port Botany Industrial,7,2.5,0,0,133.3333333,0,0,0,0,0,0
2017,117011325,Sydney Airport,202,22.7,0,0,168,0,0,0,0,0,0
2017,117021326,Marrickville,28223,4855.4,1.1,299,7.05485424,195,-430,534,0.698324022,-1.539893998,1.912333477
2017,117021327,Petersham - Stanmore,21633,7203.1,1.5,319,7.451077533,127,-111,303,0.595852491,-0.520784461,1.421600826
2017,117021328,Sydenham - Tempe - St Peters,8461,2195.4,1.5,125,8.807553026,81,-81,125,0.97168906,-0.97168906,1.499520154
2017,117031329,Darlinghurst,12414,14487.1,1.7,212,11.13678784,74,-181,319,0.606457958,-1.483363383,2.61432552
2017,117031330,Erskineville - Alexandria,17822,4125.5,2.8,482,17.05472244,233,-15,264,1.343713956,-0.08650519,1.522491349
2017,117031331,Glebe - Forest Lodge,21592,9380.5,3.7,778,19.7262391,147,92,539,0.706255405,0.442010185,2.589603152
2017,117031332,Newtown - Camperdown - Darlington,27450,8365.8,4.4,1153,17.97335383,201,116,836,0.764345743,0.441114956,3.179069856
2017,117031333,Potts Point - Woolloomooloo,23809,16317.6,3.6,819,16.96053736,65,207,547,0.282731622,0.900391475,2.379295346
2017,117031334,Pyrmont - Ultimo,24083,16149,3.2,744,15.82384863,202,-503,1045,0.865504092,-2.155190882,4.47748404
2017,117031335,Redfern - Chippendale,25538,11806.2,5.5,1331,33.55235269,127,-380,1584,0.524641633,-1.569793861,6.54356178
2017,117031336,Surry Hills,18064,13722.3,1.2,220,6.408820235,69,-361,512,0.3866846,-2.023088993,2.869311813
2017,117031337,Sydney - Haymarket - The Rocks,31010,7222.7,3.5,1040,20.18786632,197,-535,1378,0.657323991,-1.785118452,4.597931265
2017,117031338,Waterloo - Beaconsfield,37929,10592,7.4,2606,56.57595904,372,470,1764,1.053138182,1.33057781,4.993913314
2017,118011339,Bondi - Tamarama - Bronte,20310,8136,1.1,213,1.957477256,271,-501,443,1.348459969,-2.492909389,2.204309101
2017,118011340,Bondi Beach - North Bondi,22969,9335.1,1.8,410,8.889617077,305,-429,534,1.352010284,-1.901680039,2.367126202
2017,118011341,Bondi Junction - Waverly,18314,7257.7,2.2,390,7.566152951,93,-138,435,0.518857398,-0.769917429,2.426913635
2017,118011342,Centennial Park,3,1.5,0,0,0,0,0,0,0,0,0
2017,118011343,Double Bay - Bellevue Hill,27009,5729.5,0.9,228,2.760865403,146,-283,365,0.545162615,-1.056719316,1.362906538
2017,118011344,Dover Heights,11583,6192.5,0.5,57,3.786590278,122,-157,92,1.058476488,-1.362137775,0.798195384
